T;Tr;CFUb;CFUm;Hemo
1;0;70000000;5000000;3.13
1;0;10000000;10000000;5.08
1;0;100000000;10000000;5.86
1;0;20000000;3000000;7.15
1;0;100000000;70000000;6.61
1;0;10000000;6000000;4.84
1;1;400000;0;6.76
1;1;100000;0;9.76
1;1;3000000;0;9.46
1;1;2000000;0;8.56
1;1;7000000;500000;6.47
1;1;2000000;0;5.62
2;0;10000000;0;4.69
2;0;900000;200000;5.84
2;0;1000000;0;5.25
2;0;40000000;400000;5.25
2;0;2000000;0;7.23
2;0;4000000;1000000;8.94
2;0;20000;200000;7.03
2;0;50000;50000;6.78
2;0;100000;10000;7.04
2;0;3000000;0;6.28
2;0;500000;30000;7.74
2;0;500000;0;17.77
2;1;8000000;0;8.58
2;1;6000000;5000000;4.8
2;1;60000000;10000000;6.21
2;1;70000000;10000000;6.95
2;1;600000;2000000;6.12
2;1;10000000;400000000;6.93
2;1;4000000;0;4.72
2;1;400000;20000;18.93
2;1;600000;300000;28.83
2;1;500000;200000;26.35
2;1;500000;90000;27.07
2;1;400000;40000;26.28
